TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	7555.0	7438.2	7673.6
50000.0	9505.0	9411.5	9599.4
75000.0	10381.5	10310.1	10453.4
100000.0	10867.0	10805.9	10928.4
125000.0	11161.5	11118.8	11204.3
150000.0	11351.0	11316.0	11386.1
175000.0	11484.7	11457.8	11511.5
200000.0	11579.6	11552.7	11606.6
225000.0	11649.5	11618.5	11680.5
250000.0	11704.6	11665.8	11743.6
275000.0	11748.1	11697.8	11798.6
300000.0	11784.3	11720.0	11848.9
325000.0	11815.2	11737.2	11893.7
350000.0	11841.7	11751.2	11933.0
375000.0	11861.3	11758.8	11964.8
400000.0	11881.2	11767.1	11996.4
425000.0	11898.4	11773.1	12025.1
450000.0	11912.7	11776.4	12050.6
475000.0	11923.1	11776.0	12072.0
500000.0	11932.5	11774.8	12092.2
525000.0	11941.5	11773.4	12111.9
550000.0	11950.4	11772.2	12131.2
575000.0	11961.5	11773.4	12152.6
600000.0	11969.1	11771.4	12170.2
625000.0	11975.0	11767.8	12185.8
650000.0	11980.4	11764.0	12200.7
675000.0	11985.3	11759.9	12214.9
700000.0	11989.7	11755.8	12228.4
725000.0	11993.9	11751.5	12241.3
750000.0	11997.7	11747.1	12253.7
775000.0	12001.2	11742.6	12265.5
800000.0	12004.5	11738.2	12276.9
825000.0	12008.4	11734.6	12288.6
850000.0	12012.0	11730.9	12299.8
875000.0	12015.4	11727.2	12310.6
900000.0	12018.6	11723.6	12321.0
925000.0	12021.6	11720.0	12331.0
950000.0	12024.5	11716.4	12340.6
975000.0	12027.2	11712.8	12349.9
1000000.0	12029.8	11709.4	12358.9
1025000.0	12032.2	11705.9	12367.6
1050000.0	12034.6	11702.5	12376.0
1075000.0	12036.8	11699.2	12384.1
1100000.0	12038.9	11695.9	12392.0
1125000.0	12041.0	11692.7	12399.6
1150000.0	12042.9	11689.6	12406.9
1175000.0	12045.1	11686.8	12414.3
1200000.0	12047.2	11684.1	12421.6
1225000.0	12049.2	11681.4	12428.6
1250000.0	12051.2	11678.8	12435.4
1275000.0	12053.1	11676.3	12442.0
1300000.0	12054.6	11673.4	12448.1
1325000.0	12055.8	11670.5	12453.9
1350000.0	12057.0	11667.6	12459.5
1375000.0	12058.2	11664.8	12464.9
1400000.0	12059.3	11662.0	12470.2
1425000.0	12060.4	11659.3	12475.3
1450000.0	12061.5	11656.7	12480.3
1475000.0	12062.5	11654.1	12485.2
1500000.0	12063.5	11651.5	12490.0
1525000.0	12064.4	11649.0	12494.6
1550000.0	12065.3	11646.6	12499.1
1575000.0	12066.2	11644.2	12503.5
1600000.0	12067.1	11641.9	12507.8
1625000.0	12067.9	11639.6	12512.0
1650000.0	12068.7	11637.3	12516.1
1675000.0	12069.5	11635.1	12520.1
1700000.0	12070.3	11633.0	12524.0
1725000.0	12071.0	11630.9	12527.8
1750000.0	12071.7	11628.8	12531.6
1775000.0	12072.4	11626.8	12535.2
1800000.0	12073.1	11624.8	12538.8
1825000.0	12073.8	11622.8	12542.2
1850000.0	12074.4	11620.9	12545.6
1875000.0	12075.0	11619.0	12549.0
1900000.0	12075.7	11617.2	12552.2
1925000.0	12076.3	11615.4	12555.4
1950000.0	12076.8	11613.6	12558.6
1975000.0	12077.4	11611.8	12561.6
