total_reads	distinct_reads
0	0
2500	1935
5000	3386
7500	4566
10000	5519
12500	6330
15000	7180
17500	7765
20000	8301
22500	8846
25000	9437
27500	9818
30000	10164
32500	10539
35000	10876
37500	11176
40000	11412
42500	11797
45000	11910
47500	12167
50000	12350
52500	12583
55000	12746
57500	12899
60000	13037
62500	13185
65000	13365
67500	13471
70000	13584
72500	13678
75000	13779
77500	13931
80000	14004
82500	14107
85000	14158
87500	14260
90000	14306
92500	14395
95000	14469
97500	14549
100000	14601
