TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	6791.5	6692.1	6892.3
50000.0	7993.8	7874.5	8114.9
75000.0	8371.1	8082.5	8670.0
100000.0	8540.0	8103.1	9000.6
125000.0	8659.9	8109.1	9248.2
150000.0	8762.7	8127.0	9448.1
175000.0	8836.1	8136.7	9595.6
200000.0	8890.8	8142.5	9707.9
225000.0	8926.2	8139.4	9789.1
250000.0	8956.8	8139.0	9856.8
275000.0	8975.9	8132.7	9906.5
300000.0	8995.7	8131.3	9952.0
325000.0	9009.2	8126.9	9987.3
350000.0	9026.7	8129.0	10023.6
375000.0	9044.2	8133.1	10057.3
400000.0	9059.8	8137.0	10087.1
425000.0	9073.8	8140.8	10113.7
450000.0	9086.5	8144.3	10137.6
475000.0	9098.0	8147.7	10159.2
500000.0	9107.2	8149.5	10177.4
525000.0	9116.0	8151.7	10194.4
550000.0	9124.3	8154.0	10210.1
575000.0	9131.9	8156.1	10224.5
600000.0	9138.9	8158.1	10237.7
625000.0	9145.4	8159.9	10249.9
650000.0	9151.4	8161.6	10261.2
675000.0	9157.0	8163.3	10271.7
700000.0	9162.2	8164.8	10281.5
725000.0	9167.1	8166.3	10290.6
750000.0	9171.7	8167.7	10299.1
775000.0	9176.0	8169.0	10307.1
800000.0	9180.4	8170.6	10315.0
825000.0	9185.7	8173.3	10323.6
850000.0	9191.1	8176.2	10331.9
875000.0	9196.1	8178.9	10339.8
900000.0	9200.9	8181.4	10347.3
925000.0	9205.4	8183.9	10354.4
950000.0	9209.7	8186.2	10361.1
975000.0	9213.7	8188.4	10367.5
1000000.0	9217.6	8190.5	10373.6
1025000.0	9221.3	8192.5	10379.4
1050000.0	9224.9	8194.4	10384.9
1075000.0	9228.2	8196.3	10390.2
1100000.0	9231.5	8198.0	10395.2
1125000.0	9234.6	8199.7	10400.0
1150000.0	9237.5	8201.3	10404.6
1175000.0	9240.4	8202.9	10409.0
1200000.0	9243.1	8204.4	10413.3
1225000.0	9245.7	8205.8	10417.4
1250000.0	9248.2	8207.2	10421.3
1275000.0	9250.6	8208.5	10425.0
1300000.0	9252.9	8209.8	10428.6
1325000.0	9255.2	8211.0	10432.1
1350000.0	9257.4	8212.2	10435.5
1375000.0	9259.4	8213.4	10438.7
1400000.0	9261.4	8214.5	10441.8
1425000.0	9263.4	8215.6	10444.8
1450000.0	9265.3	8216.6	10447.7
1475000.0	9266.7	8217.3	10450.2
1500000.0	9268.1	8217.9	10452.6
1525000.0	9269.4	8218.5	10454.8
1550000.0	9270.7	8219.0	10457.0
1575000.0	9272.0	8219.6	10459.1
1600000.0	9273.2	8220.1	10461.2
1625000.0	9274.5	8220.7	10463.3
1650000.0	9275.7	8221.3	10465.3
1675000.0	9276.9	8221.8	10467.3
1700000.0	9278.0	8222.4	10469.2
1725000.0	9279.1	8222.9	10471.0
1750000.0	9280.2	8223.4	10472.8
1775000.0	9281.2	8223.9	10474.5
1800000.0	9282.3	8224.4	10476.2
1825000.0	9283.3	8224.9	10477.9
1850000.0	9284.2	8225.3	10479.5
1875000.0	9285.2	8225.8	10481.0
1900000.0	9286.1	8226.2	10482.6
1925000.0	9287.0	8226.6	10484.0
1950000.0	9287.9	8227.0	10485.5
1975000.0	9288.7	8227.4	10486.9
