TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	9099.0	8955.7	9244.6
50000.0	11871.2	11749.4	11994.2
75000.0	13121.0	12990.6	13252.6
100000.0	13826.2	13567.6	14089.7
125000.0	14257.5	13824.7	14703.7
150000.0	14532.7	13950.9	15138.8
175000.0	14742.3	14028.0	15493.0
200000.0	14906.9	14072.4	15790.9
225000.0	15038.3	14094.6	16045.2
250000.0	15154.5	14110.9	16275.4
275000.0	15241.1	14105.4	16468.3
300000.0	15313.8	14092.5	16641.0
325000.0	15382.0	14080.6	16803.7
350000.0	15432.5	14055.7	16944.2
375000.0	15473.5	14025.3	17071.2
400000.0	15508.2	13992.2	17188.4
425000.0	15537.8	13957.2	17297.4
450000.0	15562.0	13919.6	17398.1
475000.0	15585.6	13883.9	17495.8
500000.0	15611.4	13852.7	17593.2
525000.0	15631.8	13818.4	17683.2
550000.0	15651.8	13785.5	17770.7
575000.0	15671.3	13754.0	17856.0
600000.0	15689.9	13723.2	17938.4
625000.0	15705.9	13691.4	18016.7
650000.0	15718.7	13658.0	18090.3
675000.0	15730.3	13624.7	18161.2
700000.0	15741.0	13592.0	18229.9
725000.0	15751.1	13559.8	18296.5
750000.0	15760.4	13528.1	18361.2
775000.0	15769.2	13496.9	18424.1
800000.0	15777.4	13466.2	18485.3
825000.0	15785.1	13436.1	18544.9
850000.0	15792.4	13406.4	18602.9
875000.0	15799.4	13377.5	18659.7
900000.0	15806.1	13349.2	18715.3
925000.0	15812.5	13321.4	18769.5
950000.0	15818.6	13294.0	18822.6
975000.0	15824.3	13267.2	18874.4
1000000.0	15829.8	13240.8	18925.1
1025000.0	15835.0	13214.8	18974.7
1050000.0	15840.0	13189.4	19023.2
1075000.0	15844.7	13164.3	19070.8
1100000.0	15849.2	13139.7	19117.4
1125000.0	15853.5	13115.5	19163.0
1150000.0	15857.6	13091.7	19207.8
1175000.0	15861.5	13068.4	19251.7
1200000.0	15865.3	13045.4	19294.8
1225000.0	15868.9	13022.8	19337.1
1250000.0	15872.4	13000.6	19378.6
1275000.0	15875.8	12978.8	19419.4
1300000.0	15879.0	12957.3	19459.5
1325000.0	15882.1	12936.2	19498.8
1350000.0	15885.1	12915.4	19537.5
1375000.0	15887.9	12895.0	19575.6
1400000.0	15890.7	12874.9	19613.0
1425000.0	15893.4	12855.1	19649.7
1450000.0	15895.9	12835.6	19685.9
1475000.0	15898.4	12816.5	19721.5
1500000.0	15900.8	12797.6	19756.5
1525000.0	15903.2	12779.1	19791.0
1550000.0	15906.3	12761.7	19825.8
1575000.0	15909.8	12745.0	19860.5
1600000.0	15913.2	12728.5	19894.6
1625000.0	15916.4	12712.2	19928.2
1650000.0	15919.6	12696.2	19961.3
1675000.0	15922.6	12680.4	19993.9
1700000.0	15925.6	12664.8	20025.9
1725000.0	15928.5	12649.5	20057.5
1750000.0	15931.3	12634.3	20088.7
1775000.0	15934.1	12619.4	20119.3
1800000.0	15936.7	12604.7	20149.6
1825000.0	15939.3	12590.2	20179.4
1850000.0	15941.8	12575.8	20208.8
1875000.0	15944.3	12561.7	20237.7
1900000.0	15946.7	12547.8	20266.3
1925000.0	15949.0	12534.0	20294.5
1950000.0	15951.3	12520.4	20322.3
1975000.0	15953.5	12507.1	20349.7
