TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	6073.0	5981.6	6165.8
50000.0	7146.3	7089.3	7203.8
75000.0	7530.4	7451.5	7610.3
100000.0	7724.2	7565.9	7885.8
125000.0	7853.7	7613.2	8101.7
150000.0	7939.9	7626.2	8266.4
175000.0	7996.9	7620.6	8391.8
200000.0	8049.5	7620.0	8503.2
225000.0	8084.5	7609.5	8589.2
250000.0	8117.6	7603.2	8666.8
275000.0	8144.6	7595.5	8733.4
300000.0	8167.2	7587.2	8791.6
325000.0	8185.0	7577.1	8841.7
350000.0	8205.0	7571.6	8891.5
375000.0	8215.6	7558.7	8929.6
400000.0	8225.4	7546.8	8965.0
425000.0	8235.7	7536.9	8999.3
450000.0	8244.8	7527.0	9031.0
475000.0	8253.0	7517.5	9060.4
500000.0	8260.3	7508.1	9087.9
525000.0	8267.0	7499.0	9113.7
550000.0	8273.1	7490.2	9138.0
575000.0	8278.7	7481.6	9160.8
600000.0	8284.4	7473.8	9182.9
625000.0	8289.6	7466.2	9203.8
650000.0	8294.4	7458.8	9223.6
675000.0	8298.9	7451.7	9242.5
700000.0	8303.1	7444.7	9260.4
725000.0	8306.6	7437.6	9277.1
750000.0	8309.8	7430.6	9293.0
775000.0	8312.8	7423.9	9308.2
800000.0	8315.6	7417.4	9322.7
825000.0	8318.3	7411.1	9336.6
850000.0	8320.8	7404.9	9349.9
875000.0	8323.2	7399.0	9362.7
900000.0	8325.4	7393.3	9375.0
925000.0	8327.5	7387.7	9386.9
950000.0	8329.5	7382.3	9398.2
975000.0	8331.4	7377.1	9409.2
1000000.0	8333.3	7372.1	9419.8
1025000.0	8335.1	7367.3	9430.1
1050000.0	8336.8	7362.6	9440.0
1075000.0	8338.4	7358.0	9449.5
1100000.0	8340.0	7353.6	9458.8
1125000.0	8341.5	7349.3	9467.7
1150000.0	8342.9	7345.1	9476.4
1175000.0	8344.3	7341.0	9484.7
1200000.0	8345.6	7337.0	9492.8
1225000.0	8346.9	7333.2	9500.7
1250000.0	8348.1	7329.5	9508.3
1275000.0	8349.2	7325.8	9515.7
1300000.0	8350.4	7322.3	9522.8
1325000.0	8351.4	7318.8	9529.8
1350000.0	8352.5	7315.5	9536.5
1375000.0	8353.5	7312.2	9543.1
1400000.0	8354.4	7309.0	9549.5
1425000.0	8355.4	7305.9	9555.7
1450000.0	8356.3	7302.8	9561.7
1475000.0	8357.1	7299.9	9567.6
1500000.0	8358.0	7297.0	9573.3
1525000.0	8358.8	7294.2	9578.8
1550000.0	8359.6	7291.4	9584.3
1575000.0	8360.4	7288.7	9589.6
1600000.0	8361.1	7286.1	9594.7
1625000.0	8361.8	7283.5	9599.7
1650000.0	8362.5	7281.0	9604.6
1675000.0	8363.2	7278.6	9609.4
1700000.0	8363.8	7276.2	9614.1
1725000.0	8364.5	7273.8	9618.6
1750000.0	8365.1	7271.5	9623.1
1775000.0	8365.7	7269.3	9627.5
1800000.0	8366.3	7267.1	9631.7
1825000.0	8366.8	7265.0	9635.9
1850000.0	8367.4	7262.9	9639.9
1875000.0	8367.9	7260.8	9643.9
1900000.0	8368.5	7258.8	9647.8
1925000.0	8369.0	7256.8	9651.6
1950000.0	8369.5	7254.9	9655.3
1975000.0	8370.0	7253.0	9659.0
