0.0	0.0	0.0	0.0
195528.244797	407.966331337	400.28464267	415.793929174
391056.489594	549.605512589	541.816537768	557.506065011
586584.734392	624.856021399	618.564761296	631.211653195
782112.979189	670.96761063	665.599011455	676.379124266
977641.223986	701.737279758	696.759202186	706.749688899
1173169.46878	723.19451067	719.280711752	727.12976682
1368697.71358	738.725254405	735.583915799	741.879467349
1564225.95838	750.337907775	747.518427633	753.170262255
1759754.20318	759.349944758	756.650625109	762.062138745
1955282.44797	766.353584928	763.555562017	769.160190731
2150810.69277	771.885259057	768.75679479	775.026597662
2346338.93757	776.494272257	772.795045647	780.210664651
2541867.18236	780.511065884	776.017921731	785.03425016
2737395.42716	783.961388614	778.50266907	789.458731174
2932923.67196	786.973983834	780.472442868	793.527022155
3128451.91676	789.707635053	782.124649648	797.367866488
3323980.16155	791.870523929	783.163179624	800.680862941
3519508.40635	793.630016863	783.768273536	803.611920684
3715036.65115	795.385218352	784.377658894	806.542978426
3910564.89594	796.891515962	784.759597604	809.212257952
4106093.14074	798.47935105	785.257405361	811.924451939
4301621.38554	799.848322382	785.579263825	814.374867709
4497149.63034	800.942641158	785.673675641	816.507716462
4692677.87513	801.912507996	785.690841426	818.468907368
4888206.11993	802.805128802	785.677967087	820.301354887
5083734.36473	804.023899517	786.038448567	822.425620748
5279262.60953	805.208338664	786.398930046	824.464057684
5474790.85432	805.92071873	786.330266907	826.000395418
5670319.09912	806.525812642	786.192940629	827.382241089
5865847.34392	807.169529569	786.12427749	828.772669652
6061375.58871	807.774623481	786.059905798	830.094435076
6256903.83351	808.439797639	786.081363028	831.437657731
6452432.07831	808.96764552	785.995534105	832.613513985
6647960.32311	809.465453277	785.905413735	833.729289992
6843488.5679	809.920346572	785.802419027	834.780694307
7039016.8127	810.379531314	785.725172995	835.810641391
7234545.0575	810.804384486	785.639344072	836.776216782
7430073.3023	811.207780427	785.549223702	837.698877711
7625601.54709	811.671256615	785.544932256	838.664453102
7821129.79189	812.21627028	785.639344072	839.69010874
8016658.03669	812.74411816	785.738047334	840.681432808
8212186.28148	813.259091702	785.836750596	841.634133861
8407714.52628	813.752608013	785.935453858	842.55679479
8603242.77108	814.164586847	785.961202535	843.376461011
8798771.01588	814.447822295	785.879665058	844.054509507
8994299.26067	814.834052451	785.913996627	844.822678374
9189827.50547	815.164493807	785.901122289	845.517892656
9385355.75027	815.413397686	785.819584811	846.118695121
9580883.99507	815.649427226	785.74233878	846.698040356
9776412.23986	815.941245566	785.725172995	847.316008606
9971940.48466	816.258812584	785.750921672	847.951142641
10167468.7295	816.567796709	785.776670349	848.569110891
10362996.9743	816.868197942	785.802419027	849.165621911
10558525.2191	817.164307728	785.828167704	849.744967145
10754053.4638	817.447543176	785.853916381	850.307146595
10949581.7086	817.722195732	785.883956504	850.852160261
11145109.9534	817.97109961	785.88824795	851.35855091
11340638.1982	818.18567192	785.871082165	851.83060999
11536166.443	818.391661336	785.849624935	852.281211839
11731694.6878	818.580484968	785.819584811	852.706065011
11927222.9326	818.7693086	785.79812758	853.126626737
12122751.1774	819.001046694	785.823876257	853.581520033
12318279.4222	819.228493342	785.849624935	854.027830436
12513807.667	819.451648543	785.875373612	854.4612665
12709335.9118	819.666220852	785.901122289	854.881828226
12904864.1566	819.876501715	785.926870966	855.289515613
13100392.4014	820.078199686	785.952619643	855.688620108
13295920.6462	820.279897657	785.97836832	856.079141711
13491448.891	820.473012735	786.004116997	856.456788975
13686977.1358	820.661836367	786.025574228	856.825853347
13882505.3806	820.846368553	786.051322905	857.186334826
14078033.6254	821.026609292	786.072780136	857.538233413
14273561.8702	821.206850032	786.098528813	857.881549107
14469090.115	821.378507879	786.119986044	858.211990463
14664618.3598	821.584497296	786.184357737	858.576763389
14860146.6046	821.850566959	786.308809676	859.001616561
15055674.8494	822.022224807	786.343141246	859.323475025
15251203.0942	822.146676746	786.330266907	859.593836134
15446731.339	822.266837239	786.321684015	859.859905798
