TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	5742.5	5643.3	5843.4
50000.0	6714.0	6652.6	6776.0
75000.0	7086.2	7042.7	7130.1
100000.0	7273.5	7213.1	7334.5
125000.0	7395.8	7293.4	7499.6
150000.0	7474.7	7333.9	7618.3
175000.0	7530.4	7356.1	7708.8
200000.0	7571.2	7364.6	7783.7
225000.0	7606.7	7369.1	7852.0
250000.0	7628.8	7362.0	7905.2
275000.0	7655.1	7361.2	7960.7
300000.0	7677.5	7358.7	8010.3
325000.0	7694.9	7353.0	8052.8
350000.0	7706.8	7343.8	8087.8
375000.0	7717.2	7334.8	8119.6
400000.0	7726.3	7326.0	8148.3
425000.0	7733.2	7316.7	8173.5
450000.0	7739.4	7307.8	8196.4
475000.0	7744.9	7299.5	8217.4
500000.0	7749.8	7291.7	8236.6
525000.0	7754.2	7284.4	8254.4
550000.0	7758.2	7277.5	8270.7
575000.0	7761.9	7271.1	8285.8
600000.0	7765.3	7265.1	8299.9
625000.0	7768.3	7259.4	8312.9
650000.0	7771.3	7254.3	8325.2
675000.0	7774.4	7249.8	8337.1
700000.0	7777.3	7245.5	8348.1
725000.0	7780.0	7241.5	8358.5
750000.0	7782.5	7237.7	8368.2
775000.0	7784.8	7234.1	8377.4
800000.0	7786.9	7230.7	8386.0
825000.0	7788.9	7227.4	8394.1
850000.0	7790.8	7224.3	8401.8
875000.0	7792.6	7221.4	8409.0
900000.0	7794.3	7218.6	8415.9
925000.0	7795.9	7216.0	8422.5
950000.0	7797.4	7213.4	8428.7
975000.0	7798.8	7211.0	8434.6
1000000.0	7800.2	7208.7	8440.2
1025000.0	7801.5	7206.5	8445.5
1050000.0	7802.7	7204.4	8450.6
1075000.0	7803.8	7202.4	8455.5
1100000.0	7804.9	7200.4	8460.2
1125000.0	7806.0	7198.6	8464.7
1150000.0	7807.0	7196.8	8469.0
1175000.0	7808.0	7195.1	8473.1
1200000.0	7808.9	7193.4	8477.0
1225000.0	7809.8	7191.8	8480.8
1250000.0	7810.6	7190.3	8484.5
1275000.0	7811.4	7188.8	8488.0
1300000.0	7812.2	7187.4	8491.3
1325000.0	7813.0	7186.1	8494.6
1350000.0	7813.7	7184.7	8497.7
1375000.0	7814.4	7183.5	8500.7
1400000.0	7815.1	7182.2	8503.7
1425000.0	7815.7	7181.0	8506.5
1450000.0	7816.3	7179.9	8509.2
1475000.0	7816.9	7178.8	8511.8
1500000.0	7817.5	7177.7	8514.4
1525000.0	7818.1	7176.6	8516.9
1550000.0	7818.6	7175.6	8519.3
1575000.0	7819.2	7174.7	8521.6
1600000.0	7819.8	7173.8	8523.9
1625000.0	7820.3	7172.9	8526.2
1650000.0	7820.8	7172.1	8528.3
1675000.0	7821.4	7171.3	8530.5
1700000.0	7822.1	7170.7	8532.7
1725000.0	7822.8	7170.1	8534.9
1750000.0	7823.5	7169.5	8537.0
1775000.0	7824.1	7169.0	8539.1
1800000.0	7824.7	7168.4	8541.1
1825000.0	7825.3	7167.9	8543.0
1850000.0	7825.9	7167.4	8544.9
1875000.0	7826.5	7166.9	8546.8
1900000.0	7827.1	7166.4	8548.6
1925000.0	7827.6	7165.9	8550.4
1950000.0	7828.1	7165.5	8552.1
1975000.0	7828.7	7165.0	8553.7
