TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	9502.5	9344.0	9663.7
50000.0	12791.5	12641.2	12943.6
75000.0	14553.5	14413.5	14694.8
100000.0	15624.0	15515.6	15733.2
125000.0	16339.0	16233.3	16445.4
150000.0	16849.5	16762.2	16937.2
175000.0	17209.2	17142.5	17276.2
200000.0	17478.2	17417.0	17539.6
225000.0	17683.6	17622.7	17744.6
250000.0	17847.5	17781.0	17914.2
275000.0	17982.4	17905.1	18060.0
300000.0	18082.9	17989.9	18176.4
325000.0	18175.0	18062.0	18288.6
350000.0	18252.9	18116.0	18390.8
375000.0	18312.4	18148.6	18477.7
400000.0	18362.7	18170.5	18557.1
425000.0	18415.6	18194.5	18639.4
450000.0	18463.5	18213.9	18716.5
475000.0	18509.1	18231.8	18790.5
500000.0	18548.3	18244.4	18857.2
525000.0	18580.1	18250.7	18915.4
550000.0	18609.9	18256.1	18970.7
575000.0	18644.6	18267.2	19029.8
600000.0	18678.2	18278.3	19086.9
625000.0	18701.7	18280.0	19133.0
650000.0	18721.3	18278.8	19174.4
675000.0	18743.0	18280.6	19217.2
700000.0	18762.7	18281.0	19257.2
725000.0	18779.7	18279.5	19293.7
750000.0	18795.6	18277.5	19328.3
775000.0	18810.4	18275.3	19361.3
800000.0	18824.4	18272.8	19392.7
825000.0	18839.6	18272.0	19424.7
850000.0	18855.9	18273.1	19457.2
875000.0	18871.5	18274.1	19488.4
900000.0	18885.6	18274.0	19517.6
925000.0	18897.1	18272.0	19543.5
950000.0	18908.0	18269.8	19568.5
975000.0	18918.4	18267.6	19592.3
1000000.0	18928.3	18265.4	19615.2
1025000.0	18937.7	18263.2	19637.2
1050000.0	18946.8	18260.9	19658.4
1075000.0	18959.7	18263.0	19683.0
1100000.0	18972.9	18265.6	19707.4
1125000.0	18985.5	18268.2	19731.0
1150000.0	18994.8	18267.6	19750.8
1175000.0	19001.4	18264.9	19767.7
1200000.0	19007.9	18262.2	19784.0
1225000.0	19014.0	18259.5	19799.7
1250000.0	19020.0	18257.0	19814.9
1275000.0	19025.7	18254.5	19829.6
1300000.0	19031.3	18252.0	19843.8
1325000.0	19035.1	18248.1	19856.0
1350000.0	19038.7	18244.2	19867.8
1375000.0	19042.2	18240.5	19879.2
1400000.0	19047.9	18239.1	19892.5
1425000.0	19053.7	18238.1	19905.8
1450000.0	19057.0	18234.7	19916.3
1475000.0	19059.7	18231.1	19926.1
1500000.0	19063.0	18228.1	19936.2
1525000.0	19067.5	18226.5	19947.3
1550000.0	19071.9	18225.0	19958.1
1575000.0	19075.4	18222.8	19967.9
1600000.0	19077.6	18219.5	19976.2
1625000.0	19079.8	18216.2	19984.3
1650000.0	19081.8	18213.0	19992.1
1675000.0	19083.9	18209.9	19999.8
1700000.0	19086.3	18207.3	20007.7
1725000.0	19088.6	18204.8	20015.4
1750000.0	19090.9	18202.3	20022.8
1775000.0	19093.0	18199.9	20030.1
1800000.0	19095.2	18197.5	20037.1
1825000.0	19097.2	18195.1	20044.0
1850000.0	19099.2	18192.9	20050.8
1875000.0	19101.2	18190.6	20057.3
1900000.0	19103.1	18188.5	20063.7
1925000.0	19104.9	18186.3	20069.9
1950000.0	19106.7	18184.2	20076.0
1975000.0	19108.5	18182.2	20082.0
