TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	9513.5	9359.0	9670.6
50000.0	12817.0	12639.1	12997.4
75000.0	14557.0	14393.9	14721.9
100000.0	15631.5	15495.6	15768.6
125000.0	16354.0	16241.3	16467.5
150000.0	16850.0	16752.3	16948.3
175000.0	17212.6	17132.2	17293.5
200000.0	17479.8	17406.3	17553.6
225000.0	17688.8	17618.1	17759.8
250000.0	17849.6	17776.0	17923.4
275000.0	17983.2	17901.3	18065.4
300000.0	18084.9	17990.2	18180.1
325000.0	18174.4	18063.5	18286.0
350000.0	18256.0	18126.8	18386.2
375000.0	18326.9	18177.1	18478.0
400000.0	18387.2	18214.6	18561.4
425000.0	18441.3	18244.3	18640.5
450000.0	18479.3	18256.8	18704.5
475000.0	18516.7	18268.3	18768.4
500000.0	18558.7	18284.6	18836.9
525000.0	18594.5	18295.2	18898.8
550000.0	18624.7	18300.7	18954.3
575000.0	18649.1	18301.4	19003.5
600000.0	18672.2	18301.5	19050.3
625000.0	18697.0	18304.3	19098.2
650000.0	18717.0	18303.1	19140.2
675000.0	18735.2	18301.0	19179.7
700000.0	18752.0	18298.4	19217.0
725000.0	18769.5	18297.1	19254.0
750000.0	18789.9	18299.6	19293.3
775000.0	18806.1	18298.7	19327.6
800000.0	18821.2	18297.2	19360.1
825000.0	18831.9	18292.2	19387.6
850000.0	18842.1	18287.1	19413.8
875000.0	18853.0	18283.5	19440.3
900000.0	18863.4	18279.8	19465.6
925000.0	18873.2	18276.1	19489.8
950000.0	18882.5	18272.4	19512.9
975000.0	18891.3	18268.7	19535.1
1000000.0	18900.0	18265.3	19556.7
1025000.0	18908.8	18262.5	19577.9
1050000.0	18916.6	18259.1	19597.7
1075000.0	18923.6	18255.4	19616.4
1100000.0	18929.9	18251.2	19633.8
1125000.0	18936.0	18247.2	19650.7
1150000.0	18942.3	18243.8	19667.5
1175000.0	18948.4	18240.4	19683.7
1200000.0	18954.2	18237.2	19699.4
1225000.0	18959.8	18234.0	19714.5
1250000.0	18965.1	18230.8	19729.1
1275000.0	18971.6	18229.0	19744.5
1300000.0	18979.0	18228.4	19760.5
1325000.0	18986.1	18227.7	19775.9
1350000.0	18992.9	18227.1	19791.0
1375000.0	18999.6	18226.4	19805.5
1400000.0	19006.0	18225.8	19819.6
1425000.0	19012.2	18225.1	19833.3
1450000.0	19016.1	18222.4	19844.5
1475000.0	19019.8	18219.6	19855.2
1500000.0	19024.9	18218.4	19867.2
1525000.0	19030.9	18218.2	19879.8
1550000.0	19034.9	18216.3	19890.3
1575000.0	19037.7	18213.2	19899.4
1600000.0	19040.7	18210.7	19908.6
1625000.0	19043.7	18208.2	19917.6
1650000.0	19046.6	18205.7	19926.3
1675000.0	19049.4	18203.3	19934.8
1700000.0	19052.1	18200.9	19943.1
1725000.0	19054.8	18198.6	19951.2
1750000.0	19057.3	18196.4	19959.0
1775000.0	19059.8	18194.1	19966.6
1800000.0	19062.2	18191.9	19974.1
1825000.0	19065.3	18190.6	19982.1
1850000.0	19068.7	18189.6	19990.3
1875000.0	19072.1	18188.7	19998.3
1900000.0	19075.3	18187.8	20006.2
1925000.0	19078.5	18186.8	20013.8
1950000.0	19080.5	18184.9	20020.2
1975000.0	19082.2	18182.6	20026.2
