TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	9496.0	9327.3	9667.7
50000.0	12786.5	12624.6	12950.4
75000.0	14538.0	14391.1	14686.4
100000.0	15616.5	15497.0	15736.9
125000.0	16339.0	16229.0	16449.7
150000.0	16843.0	16751.1	16935.4
175000.0	17207.2	17138.8	17275.9
200000.0	17478.0	17417.1	17539.1
225000.0	17685.9	17628.6	17743.4
250000.0	17849.6	17790.6	17908.9
275000.0	17974.5	17908.0	18041.2
300000.0	18079.4	18000.2	18158.9
325000.0	18168.9	18072.9	18265.4
350000.0	18240.3	18124.4	18357.0
375000.0	18310.2	18172.6	18448.8
400000.0	18369.9	18209.5	18531.7
425000.0	18414.2	18230.3	18600.0
450000.0	18455.7	18248.4	18665.4
475000.0	18497.6	18267.5	18730.6
500000.0	18534.7	18282.6	18790.2
525000.0	18569.6	18296.7	18846.7
550000.0	18601.5	18308.5	18899.2
575000.0	18625.7	18313.5	18943.2
600000.0	18660.9	18330.3	18997.5
625000.0	18683.9	18335.5	19039.0
650000.0	18703.3	18337.7	19076.1
675000.0	18717.0	18334.9	19107.0
700000.0	18733.2	18335.0	19140.0
725000.0	18753.0	18339.3	19176.0
750000.0	18769.4	18340.7	19208.2
775000.0	18787.1	18343.8	19241.1
800000.0	18801.8	18344.3	19270.7
825000.0	18814.8	18343.6	19298.1
850000.0	18828.1	18343.6	19325.4
875000.0	18845.7	18348.3	19356.6
900000.0	18862.2	18352.3	19386.3
925000.0	18876.1	18354.0	19413.1
950000.0	18889.6	18355.7	19439.1
975000.0	18899.7	18354.4	19461.3
1000000.0	18909.4	18353.0	19482.7
1025000.0	18918.6	18351.4	19503.3
1050000.0	18927.4	18349.8	19523.2
1075000.0	18935.8	18348.0	19542.4
1100000.0	18943.8	18346.3	19560.9
1125000.0	18951.6	18344.4	19578.8
1150000.0	18959.0	18342.6	19596.1
1175000.0	18966.1	18340.7	19612.8
1200000.0	18972.0	18337.9	19628.0
1225000.0	18976.9	18334.3	19642.0
1250000.0	18981.6	18330.8	19655.5
1275000.0	18986.1	18327.3	19668.6
1300000.0	18990.4	18323.9	19681.2
1325000.0	18994.6	18320.5	19693.5
1350000.0	19000.1	18318.6	19706.9
1375000.0	19005.6	18317.0	19720.0
1400000.0	19010.9	18315.4	19732.8
1425000.0	19016.1	18313.9	19745.3
1450000.0	19021.1	18312.3	19757.4
1475000.0	19026.0	18310.8	19769.1
1500000.0	19030.8	18309.4	19780.6
1525000.0	19035.4	18307.9	19791.7
1550000.0	19039.9	18306.5	19802.6
1575000.0	19045.1	18306.1	19814.0
1600000.0	19050.4	18305.7	19825.3
1625000.0	19055.5	18305.4	19836.3
1650000.0	19060.4	18305.0	19847.0
1675000.0	19065.3	18304.7	19857.4
1700000.0	19070.0	18304.4	19867.6
1725000.0	19074.6	18304.1	19877.6
1750000.0	19079.0	18303.6	19887.1
1775000.0	19082.4	18302.4	19895.7
1800000.0	19085.8	18301.2	19904.0
1825000.0	19089.1	18300.1	19912.1
1850000.0	19092.3	18298.9	19920.1
1875000.0	19095.4	18297.8	19927.8
1900000.0	19098.5	18296.7	19935.4
1925000.0	19101.4	18295.6	19942.8
1950000.0	19104.3	18294.5	19950.0
1975000.0	19107.2	18293.5	19957.0
