TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	5729.0	5643.0	5816.3
50000.0	6715.0	6655.3	6775.2
75000.0	7084.7	7046.5	7123.1
100000.0	7270.7	7219.3	7322.5
125000.0	7392.2	7296.5	7489.2
150000.0	7469.0	7335.3	7605.2
175000.0	7521.1	7355.9	7690.0
200000.0	7567.0	7371.7	7767.3
225000.0	7600.1	7376.2	7830.8
250000.0	7625.6	7374.5	7885.1
275000.0	7645.5	7369.1	7932.3
300000.0	7661.9	7361.8	7974.3
325000.0	7676.4	7354.1	8012.8
350000.0	7688.7	7345.9	8047.6
375000.0	7699.4	7337.4	8079.4
400000.0	7708.8	7328.8	8108.5
425000.0	7716.9	7320.1	8135.1
450000.0	7722.9	7310.5	8158.5
475000.0	7728.2	7301.2	8180.2
500000.0	7733.0	7292.3	8200.4
525000.0	7737.7	7284.1	8219.6
550000.0	7745.2	7279.5	8240.7
575000.0	7751.4	7274.3	8259.8
600000.0	7755.5	7267.6	8276.1
625000.0	7759.2	7261.2	8291.4
650000.0	7762.6	7255.0	8305.8
675000.0	7765.8	7249.1	8319.3
700000.0	7768.8	7243.5	8332.2
725000.0	7771.5	7238.0	8344.3
750000.0	7774.2	7233.0	8355.9
775000.0	7776.8	7228.2	8367.0
800000.0	7779.2	7223.6	8377.6
825000.0	7781.5	7219.3	8387.6
850000.0	7783.7	7215.0	8397.2
875000.0	7785.8	7211.0	8406.3
900000.0	7787.7	7207.1	8415.0
925000.0	7789.5	7203.4	8423.4
950000.0	7791.2	7199.7	8431.3
975000.0	7792.5	7195.9	8438.6
1000000.0	7793.8	7192.3	8445.6
1025000.0	7794.9	7188.8	8452.3
1050000.0	7796.1	7185.4	8458.7
1075000.0	7797.2	7182.1	8464.9
1100000.0	7798.2	7178.9	8470.8
1125000.0	7799.2	7175.9	8476.6
1150000.0	7800.1	7173.0	8482.1
1175000.0	7801.0	7170.1	8487.4
1200000.0	7801.9	7167.4	8492.5
1225000.0	7802.7	7164.7	8497.4
1250000.0	7803.5	7162.2	8502.2
1275000.0	7804.3	7159.7	8506.8
1300000.0	7805.0	7157.3	8511.3
1325000.0	7805.7	7155.0	8515.6
1350000.0	7806.4	7152.7	8519.8
1375000.0	7807.1	7150.5	8523.8
1400000.0	7807.7	7148.4	8527.7
1425000.0	7808.3	7146.4	8531.5
1450000.0	7808.9	7144.4	8535.2
1475000.0	7809.5	7142.4	8538.8
1500000.0	7810.0	7140.6	8542.3
1525000.0	7810.6	7138.7	8545.6
1550000.0	7811.1	7136.9	8548.9
1575000.0	7811.6	7135.2	8552.1
1600000.0	7812.1	7133.5	8555.2
1625000.0	7812.6	7131.9	8558.2
1650000.0	7813.0	7130.3	8561.1
1675000.0	7813.5	7128.7	8563.9
1700000.0	7813.9	7127.2	8566.7
1725000.0	7814.3	7125.7	8569.4
1750000.0	7814.7	7124.3	8572.0
1775000.0	7815.1	7122.9	8574.6
1800000.0	7815.5	7121.5	8577.1
1825000.0	7815.9	7120.2	8579.5
1850000.0	7816.2	7118.9	8581.9
1875000.0	7816.6	7117.6	8584.2
1900000.0	7816.9	7116.4	8586.5
1925000.0	7817.3	7115.2	8588.7
1950000.0	7817.6	7114.0	8590.9
1975000.0	7817.9	7112.8	8593.0
