total_reads	distinct_reads
0	0
2500	1865
5000	3109
7500	4117
10000	4956
12500	5566
15000	6087
17500	6672
20000	7072
22500	7505
25000	7794
27500	8083
30000	8368
32500	8597
35000	8846
37500	9041
40000	9301
42500	9433
45000	9596
47500	9764
50000	9884
52500	10010
55000	10118
57500	10218
60000	10305
62500	10436
65000	10472
67500	10575
70000	10668
72500	10729
75000	10760
77500	10875
80000	10924
82500	10988
85000	11036
87500	11066
90000	11115
92500	11172
95000	11218
97500	11272
100000	11311
102500	11326
105000	11376
107500	11397
