TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
25000.0	5732.0	5640.6	5824.9
50000.0	6716.0	6655.3	6777.3
75000.0	7084.8	7042.3	7127.7
100000.0	7273.4	7216.7	7330.5
125000.0	7390.0	7298.8	7482.3
150000.0	7469.1	7343.6	7596.7
175000.0	7527.6	7370.9	7687.6
200000.0	7568.8	7383.7	7758.7
225000.0	7599.8	7389.1	7816.5
250000.0	7625.6	7392.0	7866.5
275000.0	7650.9	7396.9	7913.7
300000.0	7667.5	7395.1	7950.0
325000.0	7681.6	7392.6	7982.0
350000.0	7694.7	7390.5	8011.3
375000.0	7709.6	7391.7	8041.1
400000.0	7721.0	7390.6	8066.2
425000.0	7730.0	7388.1	8087.8
450000.0	7738.1	7385.5	8107.5
475000.0	7745.4	7383.0	8125.6
500000.0	7751.9	7380.4	8142.1
525000.0	7757.9	7377.9	8157.5
550000.0	7763.4	7375.4	8171.7
575000.0	7768.4	7373.0	8184.9
600000.0	7773.0	7370.7	8197.2
625000.0	7777.2	7368.4	8208.7
650000.0	7781.2	7366.2	8219.5
675000.0	7784.8	7364.1	8229.6
700000.0	7788.2	7362.1	8239.1
725000.0	7791.4	7360.1	8248.1
750000.0	7794.4	7358.1	8256.5
775000.0	7797.2	7356.3	8264.6
800000.0	7799.8	7354.4	8272.1
825000.0	7802.1	7352.5	8279.2
850000.0	7804.2	7350.6	8285.8
875000.0	7806.2	7348.8	8292.2
900000.0	7808.2	7347.0	8298.2
925000.0	7810.0	7345.3	8304.0
950000.0	7811.7	7343.7	8309.5
975000.0	7813.3	7342.1	8314.8
1000000.0	7814.9	7340.5	8319.8
1025000.0	7816.3	7339.0	8324.7
1050000.0	7817.7	7337.6	8329.3
1075000.0	7819.1	7336.2	8333.8
1100000.0	7820.4	7334.8	8338.1
1125000.0	7821.6	7333.5	8342.2
1150000.0	7822.8	7332.2	8346.1
1175000.0	7823.9	7330.9	8350.0
1200000.0	7825.0	7329.7	8353.6
1225000.0	7826.0	7328.6	8357.2
1250000.0	7827.0	7327.4	8360.6
1275000.0	7827.8	7326.1	8363.8
1300000.0	7828.5	7324.9	8366.8
1325000.0	7829.2	7323.7	8369.7
1350000.0	7829.9	7322.5	8372.6
1375000.0	7830.6	7321.3	8375.3
1400000.0	7831.3	7320.2	8378.0
1425000.0	7831.9	7319.1	8380.6
1450000.0	7832.5	7318.1	8383.1
1475000.0	7833.1	7317.1	8385.5
1500000.0	7833.7	7316.1	8387.9
1525000.0	7834.2	7315.1	8390.2
1550000.0	7834.7	7314.1	8392.4
1575000.0	7835.3	7313.2	8394.6
1600000.0	7835.8	7312.3	8396.7
1625000.0	7836.2	7311.4	8398.7
1650000.0	7836.7	7310.5	8400.7
1675000.0	7837.2	7309.7	8402.7
1700000.0	7837.6	7308.9	8404.6
1725000.0	7838.0	7308.1	8406.4
1750000.0	7838.4	7307.3	8408.2
1775000.0	7838.8	7306.5	8410.0
1800000.0	7839.2	7305.7	8411.7
1825000.0	7839.6	7305.0	8413.3
1850000.0	7840.0	7304.3	8415.0
1875000.0	7840.3	7303.6	8416.5
1900000.0	7840.7	7302.9	8418.1
1925000.0	7841.0	7302.2	8419.6
1950000.0	7841.4	7301.6	8421.1
1975000.0	7841.7	7300.9	8422.5
